games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,id,first_name,height_feet,height_inches,last_name,position,team,weight_pounds
31,203,2021,0:44,0.1,0.19,0.0,0.03,0.0,0.0,0.03,0.16,0.19,0.03,0.0,0.03,0.0,0.16,0.19,0.5,0.0,0.0,203,Udonis,6.0,8.0,Haslem,F,"{'id': 16, 'abbreviation': 'MIA', 'city': 'Miami', 'conference': 'East', 'division': 'Southeast', 'full_name': 'Miami Heat', 'name': 'Heat'}",235.0
33,204,2021,33:11,6.15,13.36,1.82,4.58,3.27,3.85,0.85,3.85,4.7,3.76,0.73,0.58,1.88,1.7,17.39,0.46,0.397,0.85,204,Gordon,6.0,8.0,Hayward,F,"{'id': 4, 'abbreviation': 'CHA', 'city': 'Charlotte', 'conference': 'East', 'division': 'Southeast', 'full_name': 'Charlotte Hornets', 'name': 'Hornets'}",225.0
29,206,2021,2:45,0.17,0.69,0.07,0.45,0.28,0.31,0.31,0.41,0.72,0.03,0.14,0.03,0.24,0.21,0.69,0.25,0.154,0.889,206,Juancho,6.0,9.0,Hernangomez,F,"{'id': 2, 'abbreviation': 'BOS', 'city': 'Boston', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Boston Celtics', 'name': 'Celtics'}",230.0
32,207,2021,7:54,1.75,2.78,0.06,0.06,0.72,1.03,1.28,2.31,3.59,0.72,0.19,0.16,0.53,1.19,4.28,0.629,1.0,0.697,207,Willy,6.0,11.0,Hernangomez,C,"{'id': 19, 'abbreviation': 'NOP', 'city': 'New Orleans', 'conference': 'West', 'division': 'Southwest', 'full_name': 'New Orleans Pelicans', 'name': 'Pelicans'}",240.0
5,209,2021,16:04,3.4,5.8,0.2,0.8,0.6,1.4,2.8,2.8,5.6,1.2,0.8,1.0,1.0,4.0,7.6,0.586,0.25,0.429,209,Isaiah,6.0,9.0,Hicks,F,"{'id': 13, 'abbreviation': 'LAC', 'city': 'LA', 'conference': 'West', 'division': 'Pacific', 'full_name': 'LA Clippers', 'name': 'Clippers'}",230.0
32,210,2021,28:43,5.34,13.66,3.66,9.84,1.59,1.84,0.69,3.19,3.88,2.16,0.81,0.25,1.59,2.06,15.94,0.391,0.371,0.864,210,Buddy,6.0,4.0,Hield,G,"{'id': 26, 'abbreviation': 'SAC', 'city': 'Sacramento', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Sacramento Kings', 'name': 'Kings'}",214.0
26,211,2021,26:22,2.81,6.15,0.88,2.81,1.19,1.27,0.88,2.54,3.42,2.54,0.81,0.12,1.15,1.62,7.69,0.456,0.315,0.939,211,George,6.0,3.0,Hill,G,"{'id': 17, 'abbreviation': 'MIL', 'city': 'Milwaukee', 'conference': 'East', 'division': 'Central', 'full_name': 'Milwaukee Bucks', 'name': 'Bucks'}",188.0
25,212,2021,6:09,0.16,0.92,0.12,0.64,0.0,0.0,0.32,0.76,1.08,0.52,0.16,0.12,0.08,0.68,0.44,0.174,0.188,0.0,212,Solomon,6.0,7.0,Hill,F,"{'id': 1, 'abbreviation': 'ATL', 'city': 'Atlanta', 'conference': 'East', 'division': 'Southeast', 'full_name': 'Atlanta Hawks', 'name': 'Hawks'}",225.0
30,213,2021,16:03,2.43,5.17,0.5,1.43,0.63,0.8,0.13,1.47,1.6,1.73,0.53,0.27,0.97,1.6,6.0,0.471,0.349,0.792,213,Aaron,6.0,1.0,Holiday,G,"{'id': 30, 'abbreviation': 'WAS', 'city': 'Washington', 'conference': 'East', 'division': 'Southeast', 'full_name': 'Washington Wizards', 'name': 'Wizards'}",185.0
26,214,2021,31:28,6.88,14.38,1.62,4.58,1.27,1.88,0.77,3.5,4.27,6.19,1.31,0.46,2.5,1.88,16.65,0.479,0.353,0.673,214,Jrue,6.0,4.0,Holiday,G,"{'id': 17, 'abbreviation': 'MIL', 'city': 'Milwaukee', 'conference': 'East', 'division': 'Central', 'full_name': 'Milwaukee Bucks', 'name': 'Bucks'}",205.0
